action_sequence,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
"agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_3, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1588.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,0,368.6553599834442,1587.0,0.7187968550483124,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.00024472150835208595,1.0,1.0
"agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, table_14]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",316.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,1.0,exact,4.8380745304189645,10.999999620689671,,2.9310343816884696,,,0.0,1.0,1.0,140.30416622022452,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,76.60443568229675,315.0,0.6362844367552336,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.03260178864002228,1.0,1.0
"agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, chest_of_drawers_37]|agent1:Rearrange[toy_fire_truck_0, chest_of_drawers_37]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_37, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_37, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_37, None, None]|agent0:Done[None]|agent1:Done[None]",1777.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,1.0,exact,31.194613258923706,55.34482567776463,,54.758618801426934,,,0.11494252477209685,1.0,1.0,904.6438157034007,1.0,1.0,0.0,1.0,0.0,29.0,7.0,7.0,0,271.7001762390137,1774.0,0.5945413618458075,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,30.0,0.010487577877938747,1.0,1.0
"agent0:Rearrange[sushi mat, table_29]|agent1:Rearrange[ramekin, table_29]|agent0:Rearrange[sushi mat, on, table_29, None, None]|agent1:Rearrange[ramekin, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Place[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Place[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1708.0,,1.0,60,0.0,0.0,,,0.0,0.0,0.0,0.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",1.0,exact,206.67425739031933,367.2122540281971,,363.11847048759006,,,0.3276836047112902,1.0,4.0,684.3896034673594,4.0,4.0,0.0,4.0,0.0,22.625,16.0,16.0,0,355.5634756088257,1703.0,0.7542072451907522,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,52.0,0.005731239449232817,1.0,1.0
"agent0:Rearrange[stuffed_toy, living_room_1]|agent1:Rearrange[toy_pineapple, living_room_1]|agent0:Explore[dining_room_1]|agent1:Explore[living_room_1]|agent0:Rearrange[stuffed_toy_0, chair_32, on, None, None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Done[None]|agent1:Done[None]",854.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,1.0,exact,6.142676832953569,0.5517241189060649,,14.862068453032121,,,0.09195401981767747,1.0,1.0,178.13763429833034,1.0,1.0,0.0,1.0,0.0,29.0,8.0,8.0,0,149.33301258087158,850.0,0.650351288056206,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,32.0,0.0726940855383873,1.0,1.0
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[kettle_0, stool_18]|agent1:Rearrange[potato_1, stool_18]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Done[None]|agent1:Done[None]",939.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,1.0,exact,14.621852603237537,26.25919449680938,,25.13793016765758,,,0.011494252477209683,1.0,1.0,424.0337401157412,1.0,1.0,0.0,1.0,0.0,29.0,6.0,6.0,0,130.97957587242126,937.0,0.7662011745086039,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,1.0,0.0031480276957154274,1.0,1.0
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Pick[cellphone_0]|agent1:Pick[phone_stand_1]|agent0:Navigate[table_15]|agent1:Navigate[table_15]|agent0:Pick[cellphone_0]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_15]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_15, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Navigate[table_15]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Place[phone_stand_1, on, table_15, next_to, cellphone_0]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1391.0,,1.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",1.0,exact,20.662547164579095,34.94594500146095,,36.99999900000003,,,0.13513513148283426,1.0,3.0,764.5142657519738,3.0,3.0,0.0,3.0,0.0,37.0,15.0,15.0,0,258.1097021102905,1387.0,0.7182266217302293,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,15.0,0.0018952896352857351,0.0,0.0
"agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle, table_16]|agent1:Rearrange[toy_animal, table_16]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_0, on, table_16, None, None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Done[None]|agent1:Done[None]",845.0,,1.0,125,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,1.0,exact,9.178857365431025,18.324774279510603,,11.594594281227183,,,0.0,1.0,1.0,339.6177316998053,1.0,1.0,0.0,1.0,0.0,37.0,6.0,6.0,0,151.87762546539307,843.0,0.794981494035984,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.005302553530782461,1.0,1.0
agent0:Done[None]|agent1:Done[None],1.0,,0.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,1.0,none,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.6746106147766113,0.0,0.4,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
"agent0:Explore[entryway_1]|agent1:Explore[entryway_1]|agent0:Explore[kitchen_1]|agent1:Explore[entryway_1]|agent0:Explore[kitchen_1]|agent1:Explore[bathroom_1]|agent0:Rearrange[squeezer_1, bench_51]|agent1:Rearrange[toy_food_2, bench_51]|agent0:Rearrange[squeezer_1, on, bench_51, None, None]|agent1:Rearrange[toy_food_2, on, bench_51, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_food_2, on, bench_51, None, None]|agent0:Rearrange[cup_0, on, bench_51, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1361.0,,1.0,11,0.0,0.0,,,0.0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",1.0,exact,14.66832413380768,16.06896496313914,,20.206895854934626,,,1.49425282203726,1.0,1.0,425.3814145487469,1.0,1.0,0.0,1.0,0.0,29.0,8.0,8.0,0,247.52923846244812,1359.0,0.7774522283543606,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,130.0,0.0002749683044385165,1.0,1.0
