evolve_step,family,ge_audc_f,ge_audc_norm_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_cliff_flag,ge_cliff_lambda,ge_contract_margin_min,ge_cpsc_lambda_star,ge_degradation_rate,ge_evolve_step_e,ge_hard_boundary_hit,ge_hard_gate_pass,ge_hard_lambda_star,ge_margin_drop_f,ge_margin_hard,ge_margin_soft,ge_max_degradation_rate,ge_monotonicity_violations,ge_near_boundary_hit,ge_ratio_pc,ge_ratio_q,ge_ratio_rec,ge_ratio_safe,ge_ratio_stab,ge_stress_lambda,ge_valid_lambda_coverage,n_episodes,stress_lambda,task_family
0,placement_only,1.016219807161631,1.016219807161631,1,1.0,,1,1,0.6,-0.3158850840659908,1.0,0.0,0,1,0,1.0,-0.4703610199633659,-0.6422913781300785,-0.3158850840659908,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,0.35770862186992153,2.0,1.010521209998097,0.0,1.0,9,0.0,placement_only
0,placement_only,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,9,0.2,placement_only
0,placement_only,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.21954631928476287,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.21954631928476287,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,1.444897088110031,2.0,1.010521209998097,0.4,1.0,9,0.4,placement_only
0,placement_only,1.016219807161631,1.016219807161631,1,1.0,,1,1,0.6,-0.15691042488162898,1.0,1.8822837208319596,0,1,0,1.0,-0.4703610199633659,-0.3243420597613549,-0.15691042488162898,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,0.6756579402386451,2.0,1.010521209998097,0.6,1.0,9,0.6,placement_only
0,placement_only,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.0021135697925769303,1.0,0.0,0,0,1,1.0,-0.4703610199633659,-0.006294070412943054,0.0021135697925769303,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,0.993705929587057,2.0,1.010521209998097,0.8,1.0,9,0.8,placement_only
0,placement_only,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.15447593589737507,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.15447593589737507,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,1.2984306617966532,2.0,1.010521209998097,1.0,1.0,9,1.0,placement_only
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.45488403027323465,,0.0,0,1,0,,0.11654454115533674,-0.5613496481539668,-0.45488403027323465,1.6289539690187431,3,0,1.0714285714285714,1.0714285714285714,0.4386503518460332,2.0,0.6515815876074974,0.0,1.0,3,0.0,spatial_relation
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.31706634905339415,,0.0,0,1,0,,0.11654454115533674,-0.3484184123925026,-0.31706634905339415,1.6289539690187431,3,0,0.7142857142857143,0.7142857142857143,0.9276347608321832,2.0,0.6515815876074974,0.2,1.0,3,0.2,spatial_relation
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.6428571428571428,,1.6289539690187431,0,1,0,,0.11654454115533674,-0.6428571428571428,-0.6428571428571428,1.6289539690187431,3,0,0.35714285714285715,0.35714285714285715,0.8040458406776643,2.0,0.6515815876074974,0.4,1.0,3,0.4,spatial_relation
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.43842554315317694,,0.0,0,1,0,,0.11654454115533674,-0.5284326739138512,-0.43842554315317694,1.6289539690187431,3,0,1.0714285714285714,1.0714285714285714,0.4715673260861488,2.0,0.6515815876074974,0.6,1.0,3,0.6,spatial_relation
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.40476190476190477,,0.0,0,1,0,,0.11654454115533674,-0.40476190476190477,-0.40476190476190477,1.6289539690187431,3,0,0.5952380952380952,0.5952380952380952,0.8731474120628272,2.0,0.6515815876074974,0.8,1.0,3,0.8,spatial_relation
0,spatial_relation,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.5714285714285714,,0.8333333333333334,0,1,0,,0.11654454115533674,-0.5714285714285714,-0.5714285714285714,1.6289539690187431,3,0,0.4285714285714286,0.4285714285714286,1.1092596108142792,2.0,0.6515815876074974,1.0,1.0,3,1.0,spatial_relation
